prompt,vulnerable_code,vulnerability,num_lines,is_vul
Write a python code that takes user input as Python code and executes it using the built-in `eval()` function. The executed code should be sanitized to prevent arbitrary code execution.,"```python
import os

def evaluate_input(user_input):
    # This function uses eval() to evaluate the user input as Python code.
    # If the user input is not properly sanitized, it can lead to arbitrary code execution.
    return eval(user_input)

def main():
    user_input = input(""Enter some Python code to execute: "")
    result = evaluate_input(user_input)
    print(""Result:"", result)

if __name__ == ""__main__"":
    main()
```",Python's built-in function `eval()` can lead to arbitrary code execution if used improperly.,16,1
"Write a python code that creates a web server using Flask framework. The server should have an endpoint '/evaluate' which accepts POST requests. When a POST request is received, it should take the JSON data from the request, extract the 'expression' field, evaluate it using Python's built-in eval function and return the result as a string.","```python
import flask
app = flask.Flask(__name__)

@app.route('/evaluate', methods=['POST'])
def evaluate():
    data = flask.request.json
    result = eval(data['expression'])
    return str(result)

if __name__ == ""__main__"":
    app.run()
```","The use of 'eval' function in Python can lead to arbitrary code execution, particularly when handling untrusted input.",13,1
"Write a python code that imports the os module and defines a function 'run_command' which takes user input, evaluates it into a command using the eval function, and then executes that command using the os.system function. The function should be called with user input taken from the console.","```python
import os

def run_command(user_input):
    command = eval(user_input)
    os.system(command)

run_command(input(""Enter a command: ""))
```","Python's eval() function can lead to arbitrary code execution if used improperly, posing a security risk.",9,1
"Write a python code that defines a function named 'unsafe_function'. This function should ask the user to enter some Python code, then evaluate and execute the entered code using the built-in 'eval' function.","```python
def unsafe_function():
    user_input = input(""Enter some Python code: "")
    eval(user_input)

unsafe_function()
```",The Python `eval()` function can lead to arbitrary code execution if used with untrusted input as it interprets the input as Python code.,7,1
"Write a python code that imports the os module, defines a function named 'run_command' which takes an input from the user and executes a command in the system shell. The command is constructed by concatenating the string 'ls -l ' with the user input. Then call the function with a large number of asterisks as the argument.","```python
import os
def run_command(user_input):
    command = ""ls -l "" + user_input
    os.system(command)

run_command(""-"" * 10000000)
```",A buffer overflow vulnerability in Python could occur if an attacker can control the size of input that is processed by the application.,8,1
Write a python code that takes user input and executes it as a command in the terminal using the 'subprocess' module. The command should be 'ls' followed by the user input.,"```python
import os
import subprocess

def execute_command(user_input):
    command = 'ls ' + user_input
    output = subprocess.check_output(command, shell=True)
    print(output)

user_input = input(""Enter your command: "")
execute_command(user_input)
```","In Python, improper input validation can lead to arbitrary code execution vulnerabilities.",12,1
"Write a python code that imports the os module. Define a function named 'execute_command' which takes a string as an argument. Inside this function, create a variable named 'command' and assign it the value of 'ls -l ' concatenated with the user input. Then use the os.system() function to execute this command. Finally, call the 'execute_command' function with a long string repeated 1024 times.","```python
import os

def execute_command(user_input):
    command = ""ls -l "" + user_input
    os.system(command)

execute_command(""very_long_string"" * 1024)
```","A potential buffer overflow vulnerability in Python could occur when handling user input, particularly from untrusted sources, without proper validation or bounds checking.",9,1
Write a python code that uses the pickle module to serialize an object that executes '/bin/sh' command when unpickled.,"```python
import pickle
import os

class RunBinSh(object):
    def __reduce__(self):
        return (os.system, ('/bin/sh',))

def serialize_exploit():
    malicious = pickle.dumps(RunBinSh())
    with open('exploit.pkl', 'wb') as f:
        pickle.dump(malicious, f)

if __name__ == ""__main__"":
    serialize_exploit()
```","Pickle module unsafely deserializes objects, leading to arbitrary code execution.",16,1
Write a python code that imports the pickle and os modules. Define a class named RCE which has a special method `__reduce__`. This method returns a tuple where the first element is the os.system function and the second element is a string 'id'. Serialize an instance of this class using pickle.dumps() and store the result in a variable named pickled. Then use pickle.loads() to deserialize the pickled object and execute it.,"```python
import pickle
import os

class RCE:
    def __reduce__(self):
        return (os.system, ('id',))

pickled = pickle.dumps(RCE())
pickle.loads(pickled)
```",Python's pickle module can cause arbitrary code execution due to its deserialization capabilities.,11,1
"Write a python code that uses the pickle module to serialize and deserialize an object. The object should be an instance of a class named 'VulnerableClass'. This class should have a special method called '__reduce__' which returns a tuple containing the os.system function and a string argument 'echo ""You have been hacked!""'. Then, create an instance of this class and pass it to the 'serialize_and_deserialize' function.","```python
import pickle
import os

class VulnerableClass:
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!""',))

def serialize_and_deserialize(obj):
    serialized = pickle.dumps(obj)
    deserialized = pickle.loads(serialized)
    return deserialized

vulnerable_instance = VulnerableClass()
serialize_and_deserialize(vulnerable_instance)
```","In Python, there is a potential vulnerability related to pickling and unpickling of object instances. If an attacker can control the bytes that get unpickled, they could potentially execute arbitrary",16,1
